top - 18:12:18 up 16 min,  1 user,  load average: 0,36, 0,13, 0,11
Tasks: 232 total,   1 running, 231 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0,0 us,  0,0 sy,  0,0 ni,100,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   4160,9 total,   2298,3 free,    795,1 used,   1067,6 buff/cache
MiB Swap:   2048,0 total,   2048,0 free,      0,0 used.   3074,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1469 jfh       20   0 1412856  66508  43740 S   6,7   1,6   0:02.55 Xorg
      1 root      20   0  167540  11652   8432 S   0,0   0,3   0:01.06 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-kblockd
      7 root      20   0       0      0      0 I   0,0   0,0   0:00.11 kworker/0:1-events
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftirqd/0
     11 root      20   0       0      0      0 I   0,0   0,0   0:00.10 rcu_sched
     12 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migration/0
     13 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     17 root      rt   0       0      0      0 S   0,0   0,0   0:00.21 migration/1
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftirqd/1
     19 root      20   0       0      0      0 I   0,0   0,0   0:00.14 kworker/1:0-events
     20 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:0H-kblockd
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     23 root      rt   0       0      0      0 S   0,0   0,0   0:00.21 migration/2
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftirqd/2
     26 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0H-kblockd
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     28 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/3
     29 root      rt   0       0      0      0 S   0,0   0,0   0:00.21 migration/3
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftirqd/3
     32 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/3:0H-kblockd
     33 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     34 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/4
     35 root      rt   0       0      0      0 S   0,0   0,0   0:00.21 migration/4
     36 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftirqd/4
     38 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/4:0H-kblockd
     39 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     40 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/5
     41 root      rt   0       0      0      0 S   0,0   0,0   0:00.21 migration/5
     42 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftirqd/5
     44 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/5:0H-kblockd
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     46 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/6
